"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen"
"Curt","Crouse","","29","2003 Chevy Camero","CAMC","50.325","41.568","5","74","72","","52.484","DNF","51.018","","50.325",""
"Jon","Pierce-Ruhland","","262","1993 Mazda Miata","ES","50.364","39.888","6","56","73","","51.97","","50.364","","49.913","1"
"Ted","Hough","","968","2022 Hyundai Elantra N-Line","HS","50.453","39.656","2","52","74","","53.453","","50.769","","50.453",""
"Kaleb","Kloss","","908","2012 Chevrolet Corvette Grand Sport","AS","50.487","41.601","1","75","75","","50.487","","54.747","DNF","56.618","1"
"Scott","Allen","","304","2019 Ford Fiesta ST","XB","50.508","42.881","2","81","76","","52.284","5","50.508","","54.871",""
"Owen","Boyle","","992","2017 Volkswagen Golf GTI","STH","50.962","41.381","5","71","77","","52.711","","52.407","","50.962",""
"Kari","Gerstner","","450","2014 Ford Fiesta ST","STH","50.988","41.402","6","72","78","","55.669","","53.614","","50.988",""
"Brandon","Stachewicz","","95","1995 Dodge Neon ACR","EP","51.077","43.824","1","90","79","","54.848","","52.634","","51.077",""
"Grant","Gapinski","","400","1997 Mazda Miata","ES","51.102","40.472","7","62","80","","99.45","RERUN","56.773","","65.598","DNF","51.102",""
"Adam","Emanoff","","371","2007 Porsche Boxster S","BS","51.324","41.983","1","77","81","","51.324","","51.347","","55.45",""
"Jeremy","Poissant","","70","1970 Chevrolet Camaro","CAMT","51.707","42.399","2","78","82","","51.386","DNF","51.707","","46.452","DNF"
"Daniel","Personius","","500"," BMW 318ti","XA","51.797","43.716","15","88","83","","49.797","1","49.834","1","58.077",""
"Solomon","Rosa","","85","2000 Mazda Miata","N","51.809","51.809","4","115","84","","56.564","","55.196","","51.809",""
"Heidi","Halverson","","10","2005 Lotus Elise","SSP","51.906","44.483","1","95","85","","54.634","1","51.578","DNF","51.906",""
"Alex","McCleskey","","969","2007 Chevrolet Corvette","CAMS","51.951","44.054","5","92","86","","60.17","DNF","51.951","","53.142",""
"Randall","Johnson","630","630","2015 Ford Fiesta ST","HS","52.110","40.958","3","67","87","","53.226","","49.798","DNF","52.11",""
